Profile for reading trees
Measure Mode: wall_time
Thread ID: 70124673693820
Fiber ID: 70124673986300
Total: 2.027824
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.10      0.387     0.387     0.000     0.000   899088   String#[]
  4.63      0.698     0.094     0.000     0.604    48720  *Array#each
  4.28      0.204     0.087     0.000     0.117    81256   Tree#consume
  3.98      0.081     0.081     0.000     0.000    24359   Array#flatten
  3.24      0.066     0.066     0.000     0.000   184682   Tree#lhs
  3.12      0.092     0.063     0.000     0.028    55178   Array#hash
  2.96      0.276     0.060     0.000     0.216    73075  *Array#collect
  2.66      0.200     0.054     0.000     0.146    48716   Tree#rhs
  2.33      0.047     0.047     0.000     0.000   194864   Kernel#is_a?
  1.99      0.040     0.040     0.000     0.000    48716   Array#join
  1.87      0.038     0.038     0.000     0.000    81256   String#strip
  1.80      0.060     0.036     0.000     0.023    45461   Array#eql?
  1.74      0.064     0.035     0.000     0.029        1   Hash#each_key
  1.40      0.028     0.028     0.000     0.000   110356   String#hash
  1.38      0.028     0.028     0.000     0.000    25587   Array#include?
  1.30      0.026     0.026     0.000     0.000        1   IO#readlines
  1.28      0.026     0.026     0.000     0.000    48716   Tree#initialize
  1.22      1.047     0.025     0.000     1.022    48721  *Class#new
  1.15      0.023     0.023     0.000     0.000    90922   String#eql?
  1.03      0.021     0.021     0.000     0.000    40628   String#strip!
  0.81      0.048     0.016     0.000     0.031        1   Array#select
  0.42      0.997     0.009     0.000     0.988    40628  *Tree#configure
  0.41      0.008     0.008     0.000     0.000     3231   String#split
  0.23      0.005     0.005     0.000     0.000    24359   Kernel#nil?
  0.14      0.003     0.003     0.000     0.000        1   Array#uniq
  0.10      0.124     0.002     0.000     0.122    48716  *Tree#get_all_trees
  0.07      1.000     0.002     0.000     0.999     1000   <Class::Tree>#from_string
  0.06      0.181     0.001     0.000     0.180    48716  *Tree#get_leaves
  0.06      0.117     0.001     0.000     0.116    48716  *Tree#left_factor!
  0.06      0.001     0.001     0.000     0.000     1000   String#chomp
  0.06      0.001     0.001     0.000     0.000     3231   <Module::Math>#log
  0.05      0.001     0.001     0.000     0.000     3231   Float#/
  0.05      0.001     0.001     0.000     0.000     3231   Kernel#Float
  0.04      1.001     0.001     0.000     1.000        1   Array#map
  0.04      0.001     0.001     0.000     0.000     1161   Integer#==
  0.03      0.002     0.001     0.000     0.001     1161   BasicObject#!=
  0.02      0.000     0.000     0.000     0.000     1000   Array#[]=
  0.02      0.000     0.000     0.000     0.000     1229   String#index
  0.01      0.000     0.000     0.000     0.000     1161   BasicObject#==
  0.00      2.028     0.000     0.000     2.028        1   Global#[No method]
  0.00      0.000     0.000     0.000     0.000        1   Array#take
  0.00      0.000     0.000     0.000     0.000        1   IO#close
  0.00      0.519     0.000     0.000     0.519        1   CYKParser#compute_probabilities
  0.00      1.000     0.000     0.000     1.000        1   CYKParser#initialize
  0.00      0.000     0.000     0.000     0.000        1   File#initialize
  0.00      1.028     0.000     0.000     1.028        1   <Class::IO>#open
  0.00      0.000     0.000     0.000     0.000        1   Hash#keys
  0.00      0.173     0.000     0.000     0.173        1   CYKParser#extract_rules
  0.00      0.000     0.000     0.000     0.000        5   Object#log
  0.00      0.190     0.000     0.000     0.190        1   CYKParser#determine_parts_of_speech
  0.00      0.000     0.000     0.000     0.000        1   Array#initialize
  0.00      1.028     0.000     0.000     1.028        1   Object#read_trees
  0.00      0.006     0.000     0.000     0.006        1   Enumerable#each_with_index
  0.00      0.000     0.000     0.000     0.000        3   Hash#initialize
  0.00      0.118     0.000     0.000     0.118        1   CYKParser#left_factor
  0.00      0.000     0.000     0.000     0.000        1   IO#closed?

* indicates recursively called methods
